FIPS_State_Code,FIPS_County_Code,Census_Region_Code,Census_Division_Code,County_Name,Estimated_1_Unit_Buildings,Estimated_1_Unit_Total_Units,Estimated_1_Unit_Total_Value,Estimated_2_Unit_Buildings,Estimated_2_Unit_Total_Units,Estimated_2_Unit_Total_Value,Estimated_3to4_Unit_Buildings,Estimated_3to4_Unit_Total_Units,Estimated_3to4_Unit_Total_Value,Estimated_5plus_Unit_Buildings,Estimated_5plus_Unit_Total_Units,Estimated_5plus_Unit_Total_Value,Reported_1_Unit_Buildings,Reported_1_Unit_Total_Units,Reported_1_Unit_Total_Value,Reported_2_Unit_Buildings,Reported_2_Unit_Total_Units,Reported_2_Unit_Total_Value,Reported_3to4_Unit_Buildings,Reported_3to4_Unit_Total_Units,Reported_3to4_Unit_Total_Value,Reported_5plus_Unit_Buildings,Reported_5plus_Unit_Total_Units,Reported_5plus_Unit_Total_Value
1,1,3,6,Autauga County                ,77,77,17991479,0,0,0,0,0,0,0,0,0,77,77,17991479,0,0,0,0,0,0,0,0,0
1,7,3,6,Bibb County                   ,9,9,1576326,0,0,0,0,0,0,0,0,0,6,6,1060000,0,0,0,0,0,0,0,0,0
1,9,3,6,Blount County                 ,2,2,763900,0,0,0,0,0,0,0,0,0,2,2,763900,0,0,0,0,0,0,0,0,0
1,21,3,6,Chilton County                ,12,12,1340783,0,0,0,0,0,0,0,0,0,8,8,857000,0,0,0,0,0,0,0,0,0
1,37,3,6,Coosa County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,73,3,6,Jefferson County              ,869,869,176152964,0,0,0,0,0,0,6,165,13155348,709,709,145095107,0,0,0,0,0,0,4,91,5598786
1,81,3,6,Lee County                    ,406,406,92305455,1,2,145125,0,0,0,1,17,1414156,383,383,86763861,1,2,145125,0,0,0,0,0,0
1,115,3,6,St. Clair County              ,76,76,8177964,0,0,0,0,0,0,0,0,0,72,72,7672605,0,0,0,0,0,0,0,0,0
1,117,3,6,Shelby County                 ,337,337,57712797,0,0,0,0,0,0,0,0,0,176,176,27898139,0,0,0,0,0,0,0,0,0
1,127,3,6,Walker County                 ,10,10,1494600,0,0,0,0,0,0,0,0,0,10,10,1494600,0,0,0,0,0,0,0,0,0
