FIPS_State_Code,FIPS_County_Code,Census_Region_Code,Census_Division_Code,County_Name,Estimated_1_Unit_Buildings,Estimated_1_Unit_Total_Units,Estimated_1_Unit_Total_Value,Estimated_2_Unit_Buildings,Estimated_2_Unit_Total_Units,Estimated_2_Unit_Total_Value,Estimated_3to4_Unit_Buildings,Estimated_3to4_Unit_Total_Units,Estimated_3to4_Unit_Total_Value,Estimated_5plus_Unit_Buildings,Estimated_5plus_Unit_Total_Units,Estimated_5plus_Unit_Total_Value,Reported_1_Unit_Buildings,Reported_1_Unit_Total_Units,Reported_1_Unit_Total_Value,Reported_2_Unit_Buildings,Reported_2_Unit_Total_Units,Reported_2_Unit_Total_Value,Reported_3to4_Unit_Buildings,Reported_3to4_Unit_Total_Units,Reported_3to4_Unit_Total_Value,Reported_5plus_Unit_Buildings,Reported_5plus_Unit_Total_Units,Reported_5plus_Unit_Total_Value
1,1,3,6,Autauga County                ,18,18,1136400,0,0,0,0,0,0,15,224,11208275,18,18,1136400,0,0,0,0,0,0,15,224,11208275
1,81,3,6,Lee County                    ,30,30,4299992,4,8,481844,0,0,0,4,146,7750000,30,30,4299992,4,8,481844,0,0,0,4,146,7750000
1,113,3,6,Russell County                ,18,18,1267391,0,0,0,0,0,0,0,0,0,18,18,1267391,0,0,0,0,0,0,0,0,0
2,0,4,9,Alaska Balance of State       ,4,4,696929,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , 
2,13,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,16,4,9,Aleutians West Census Area    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,20,4,9,Anchorage Borough             ,50,50,9589028,23,46,5543644,0,0,0,0,0,0,50,50,9589028,23,46,5543644,0,0,0,0,0,0
2,50,4,9,Bethel Census Area            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,60,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,90,4,9,Fairbanks North Star Borough  ,2,2,195000,0,0,0,0,0,0,0,0,0,2,2,195000,0,0,0,0,0,0,0,0,0
2,100,4,9,Haines Borough                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,110,4,9,Juneau Borough                ,5,5,864994,1,2,278849,0,0,0,0,0,0, , , , , , , , , , , , 
2,122,4,9,Kenai Peninsula Borough       ,2,2,225300,0,0,0,0,0,0,0,0,0,1,1,118000,0,0,0,0,0,0,0,0,0
2,130,4,9,Ketchikan Gateway Borough     ,2,2,245222,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , 
2,150,4,9,Kodiak Island Borough         ,2,2,232936,0,0,0,0,0,0,0,0,0,2,2,232936,0,0,0,0,0,0,0,0,0
2,170,4,9,Matanuska-Susitna Borough     ,3,3,473130,0,0,0,0,0,0,0,0,0,3,3,473130,0,0,0,0,0,0,0,0,0
2,180,4,9,Nome Census Area              ,1,1,139422,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , 
2,185,4,9,North Slope Borough           ,3,3,321051,1,2,162616,0,0,0,0,0,0, , , , , , , , , , , , 
2,201,4,9,Prince of Wales-Outer Ketchika,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , 
2,220,4,9,Sitka Borough                 ,2,2,182356,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , 
2,232,4,9,Skagway-Hoonah-Angoon Census A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,261,4,9,Valdez-Cordova Census Area    ,1,1,131473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,280,4,9,Wrangell-Petersburg Census Are,1,1,170015,0,0,0,0,0,0,0,0,0,1,1,170015,0,0,0,0,0,0,0,0,0
2,282,4,9,Yakutat Borough               ,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , 
4,13,4,8,Maricopa County               ,2412,2412,329400400,3,6,658531,11,43,3506081,10,148,9626749,1870,1870,265082326,3,6,658531,11,43,3506081,7,113,7615895
4,15,4,8,Mohave County                 ,137,137,11763564,1,2,111082,0,0,0,0,0,0,67,67,5407469,0,0,0,0,0,0,0,0,0
4,21,4,8,Pinal County                  ,194,194,19644697,0,0,0,2,8,380013,2,26,1531799,175,175,17931232,0,0,0,0,0,0,0,0,0
5,23,3,7,Cleburne County               ,2,2,153059,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , 
5,35,3,7,Crittenden County             ,8,8,825000,0,0,0,0,0,0,0,0,0,8,8,825000,0,0,0,0,0,0,0,0,0
5,43,3,7,Drew County                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,55,3,7,Greene County                 ,11,11,694000,1,2,65000,0,0,0,0,0,0,11,11,694000,1,2,65000,0,0,0,0,0,0
5,61,3,7,Howard County                 ,1,1,64833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,71,3,7,Johnson County                ,4,4,380000,0,0,0,0,0,0,0,0,0,4,4,380000,0,0,0,0,0,0,0,0,0
6,1,4,9,Alameda County                ,156,156,39552905,2,4,455770,1,3,244610,4,106,6817212,151,151,38782851,2,4,455770,1,3,244610,4,106,6817212
6,13,4,9,Contra Costa County           ,821,821,126803167,0,0,0,0,0,0,8,64,4901293,820,820,126572436,0,0,0,0,0,0,8,64,4901293
6,17,4,9,El Dorado County              ,125,125,32044629,0,0,0,0,0,0,0,0,0,125,125,32044629,0,0,0,0,0,0,0,0,0
6,19,4,9,Fresno County                 ,204,204,31472238,1,2,124272,0,0,0,0,0,0,182,182,29352980,0,0,0,0,0,0,0,0,0
