FIPS_State_Code,FIPS_County_Code,Census_Region_Code,Census_Division_Code,County_Name,Estimated_1_Unit_Buildings,Estimated_1_Unit_Total_Units,Estimated_1_Unit_Total_Value,Estimated_2_Unit_Buildings,Estimated_2_Unit_Total_Units,Estimated_2_Unit_Total_Value,Estimated_3to4_Unit_Buildings,Estimated_3to4_Unit_Total_Units,Estimated_3to4_Unit_Total_Value,Estimated_5plus_Unit_Buildings,Estimated_5plus_Unit_Total_Units,Estimated_5plus_Unit_Total_Value,Reported_1_Unit_Buildings,Reported_1_Unit_Total_Units,Reported_1_Unit_Total_Value,Reported_2_Unit_Buildings,Reported_2_Unit_Total_Units,Reported_2_Unit_Total_Value,Reported_3to4_Unit_Buildings,Reported_3to4_Unit_Total_Units,Reported_3to4_Unit_Total_Value,Reported_5plus_Unit_Buildings,Reported_5plus_Unit_Total_Units,Reported_5plus_Unit_Total_Value
1,1,3,6,Autauga County                ,13,13,3434719,0,0,0,0,0,0,0,0,0,13,13,3434719,0,0,0,0,0,0,0,0,0
1,7,3,6,Bibb County                   ,1,1,170088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,3,6,Blount County                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21,3,6,Chilton County                ,1,1,132985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,37,3,6,Coosa County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,73,3,6,Jefferson County              ,110,110,28314552,0,0,0,2,8,793108,9,57,5148683,104,104,27351276,0,0,0,2,8,793108,8,48,4698683
1,81,3,6,Lee County                    ,67,67,18316499,0,0,0,0,0,0,1,5,510999,24,24,5017747,0,0,0,0,0,0,0,0,0
1,115,3,6,St. Clair County              ,8,8,1513634,0,0,0,0,0,0,0,0,0,7,7,1344001,0,0,0,0,0,0,0,0,0
1,117,3,6,Shelby County                 ,67,67,14431883,0,0,0,0,0,0,2,23,1285125,25,25,4921194,0,0,0,0,0,0,0,0,0
1,127,3,6,Walker County                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,4,9,Alaska Balance of State       ,7,7,1722533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,13,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,16,4,9,Aleutians West Census Area    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,20,4,9,Anchorage Borough             ,64,64,19462204,0,0,0,0,0,0,0,0,0,64,64,19462204,0,0,0,0,0,0,0,0,0
2,20,4,9,Anchorage Municipality        ,64,64,19462204,0,0,0,0,0,0,0,0,0,64,64,19462204,0,0,0,0,0,0,0,0,0
2,50,4,9,Bethel Census Area            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,60,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,90,4,9,Fairbanks North Star Borough  ,5,5,919005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,100,4,9,Haines Borough                ,2,2,457996,0,0,0,0,0,0,0,0,0,2,2,457996,0,0,0,0,0,0,0,0,0
2,105,4,9,Hoonah-Angoon Census Area     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,110,4,9,Juneau Borough                ,7,7,1503517,0,0,0,1,4,447888,0,0,0,7,7,1503517,0,0,0,1,4,447888,0,0,0
2,110,4,9,Juneau City and Borough       ,7,7,1503517,0,0,0,1,4,447888,0,0,0,7,7,1503517,0,0,0,1,4,447888,0,0,0
2,122,4,9,Kenai Peninsula Borough       ,5,5,1071242,0,0,0,0,0,0,1,6,757132,3,3,579116,0,0,0,0,0,0,1,6,757132
2,130,4,9,Ketchikan Gateway Borough     ,3,3,686993,0,0,0,0,0,0,0,0,0,3,3,686993,0,0,0,0,0,0,0,0,0
2,150,4,9,Kodiak Island Borough         ,1,1,388163,0,0,0,0,0,0,0,0,0,1,1,388163,0,0,0,0,0,0,0,0,0
2,170,4,9,Matanuska-Susitna Borough     ,4,4,834416,0,0,0,0,0,0,0,0,0,1,1,200711,0,0,0,0,0,0,0,0,0
2,180,4,9,Nome Census Area              ,0,0,0,0,0,0,0,0,0,1,5,635848,0,0,0,0,0,0,0,0,0,0,0,0
2,185,4,9,North Slope Borough           ,4,4,906847,1,2,261624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,188,4,9,Northwest Arctic Borough      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,195,4,9,Petersburg Census Area        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,198,4,9,Prince of Wales-Hyder Census A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,220,4,9,Sitka Borough                 ,2,2,494571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,220,4,9,Sitka City and Borough        ,2,2,494571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,230,4,9,Skagway Municipality          ,1,1,88000,0,0,0,1,3,225000,0,0,0,1,1,88000,0,0,0,1,3,225000,0,0,0
2,261,4,9,Valdez-Cordova Census Area    ,1,1,221000,0,0,0,0,0,0,0,0,0,1,1,221000,0,0,0,0,0,0,0,0,0
2,275,4,9,Wrangell City and Borough     ,1,1,177000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,282,4,9,Yakutat Borough               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,282,4,9,Yakutat City and Borough      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,290,4,9,Yukon-Koyukuk Census Area     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,13,4,8,Maricopa County               ,1118,1118,280118009,9,18,4428972,0,0,0,37,562,69936047,1045,1045,270615008,9,18,4428972,0,0,0,37,562,69936047
4,19,4,8,Pima County                   ,235,235,58794578,1,2,101610,0,0,0,4,64,7506331,133,133,34247589,0,0,0,0,0,0,0,0,0
4,21,4,8,Pinal County                  ,187,187,28237728,1,2,271000,0,0,0,0,0,0,143,143,20807875,0,0,0,0,0,0,0,0,0
5,23,3,7,Cleburne County               ,0,0,0,1,2,135000,0,0,0,0,0,0,0,0,0,1,2,135000,0,0,0,0,0,0
5,25,3,7,Cleveland County              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,27,3,7,Columbia County               ,1,1,224398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,35,3,7,Crittenden County             ,12,12,2272643,0,0,0,0,0,0,0,0,0,12,12,2272643,0,0,0,0,0,0,0,0,0
5,59,3,7,Hot Spring County             ,0,0,0,1,2,100000,0,0,0,0,0,0,0,0,0,1,2,100000,0,0,0,0,0,0
5,61,3,7,Howard County                 ,1,1,80000,0,0,0,0,0,0,0,0,0,1,1,80000,0,0,0,0,0,0,0,0,0
5,91,3,7,Miller County                 ,8,8,1350000,0,0,0,0,0,0,0,0,0,8,8,1350000,0,0,0,0,0,0,0,0,0
5,99,3,7,Nevada County                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,4,9,Alameda County                ,166,166,62093829,5,10,2103565,2,8,1446801,6,146,23702992,155,155,57669771,1,2,525000,2,8,1446801,5,125,19424327
6,3,4,9,Alpine County                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,9,4,9,Calaveras County              ,2,2,486691,0,0,0,0,0,0,0,0,0,2,2,486691,0,0,0,0,0,0,0,0,0
6,13,4,9,Contra Costa County           ,141,141,37264542,0,0,0,5,20,3777616,2,11,2567302,140,140,37054837,0,0,0,5,20,3777616,2,11,2567302
6,17,4,9,El Dorado County              ,28,28,9907363,0,0,0,0,0,0,0,0,0,28,28,9907363,0,0,0,0,0,0,0,0,0
6,37,4,9,Los Angeles County            ,231,231,82761209,13,26,4471337,2,7,969674,25,1344,240699888,187,187,65382359,13,26,4471337,1,4,500000,17,1240,224700999
6,41,4,9,Marin County                  ,12,12,5854859,0,0,0,0,0,0,2,46,5788405,2,2,1755550,0,0,0,0,0,0,1,38,5000000
6,45,4,9,Mendocino County              ,33,33,2630613,0,0,0,0,0,0,0,0,0,33,33,2630613,0,0,0,0,0,0,0,0,0
6,49,4,9,Modoc County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,51,4,9,Mono County                   ,1,1,206087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,59,4,9,Orange County                 ,284,284,90312512,19,38,7873603,4,14,2530384,10,360,45605282,245,245,74060344,17,34,6518235,2,7,1111493,5,203,28087804
6,61,4,9,Placer County                 ,116,116,33537273,0,0,0,0,0,0,0,0,0,115,115,33276305,0,0,0,0,0,0,0,0,0
6,63,4,9,Plumas County                 ,2,2,325415,0,0,0,0,0,0,0,0,0,2,2,325415,0,0,0,0,0,0,0,0,0
6,65,4,9,Riverside County              ,335,335,84802921,0,0,0,0,0,0,33,470,55863861,280,280,74923815,0,0,0,0,0,0,32,461,55336297
6,67,4,9,Sacramento County             ,151,151,42698207,0,0,0,0,0,0,1,106,8998451,150,150,42454953,0,0,0,0,0,0,1,106,8998451
6,69,4,9,San Benito County             ,6,6,1503704,0,0,0,0,0,0,0,0,0,2,2,520000,0,0,0,0,0,0,0,0,0
6,71,4,9,San Bernardino County         ,162,162,34617112,5,10,1371741,13,44,6114075,26,158,15685438,147,147,32280030,5,10,1371741,13,44,6114075,26,158,15685438
6,73,4,9,San Diego County              ,218,218,71960305,5,10,2092872,8,28,3935844,30,426,56550303,217,217,71749003,5,10,2092872,8,28,3935844,30,426,56550303
6,75,4,9,San Francisco County          ,2,2,496256,0,0,0,1,4,1000000,6,383,84789374,2,2,496256,0,0,0,1,4,1000000,6,383,84789374
6,77,4,9,San Joaquin County            ,128,128,32769262,0,0,0,0,0,0,0,0,0,111,111,28630864,0,0,0,0,0,0,0,0,0
6,81,4,9,San Mateo County              ,54,54,29736542,1,2,500000,0,0,0,2,39,6763140,31,31,12463057,0,0,0,0,0,0,0,0,0
6,85,4,9,Santa Clara County            ,137,137,59887300,0,0,0,0,0,0,10,524,111626755,118,118,51212286,0,0,0,0,0,0,9,489,107261726
6,91,4,9,Sierra County                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,113,4,9,Yolo County                   ,20,20,5176406,0,0,0,0,0,0,0,0,0,20,20,5176406,0,0,0,0,0,0,0,0,0
8,1,4,8,Adams County                  ,74,74,16927698,0,0,0,0,0,0,0,0,0,66,66,15376958,0,0,0,0,0,0,0,0,0
8,5,4,8,Arapahoe County               ,102,102,31047731,0,0,0,0,0,0,1,28,2701176,85,85,26113079,0,0,0,0,0,0,0,0,0
8,14,4,8,Broomfield County             ,45,45,11666560,0,0,0,0,0,0,2,53,3544325,45,45,11666560,0,0,0,0,0,0,2,53,3544325
8,15,4,8,Chaffee County                ,11,11,2593308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,19,4,8,Clear Creek County            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,23,4,8,Costilla County               ,2,2,453794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,31,4,8,Denver County                 ,98,98,17005420,7,14,2415619,0,0,0,2,124,22594431,98,98,17005420,7,14,2415619,0,0,0,2,124,22594431
8,33,4,8,Dolores County                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,35,4,8,Douglas County                ,159,159,46625047,0,0,0,0,0,0,1,48,4201341,149,149,44206997,0,0,0,0,0,0,0,0,0
8,39,4,8,Elbert County                 ,6,6,2311113,0,0,0,0,0,0,0,0,0,6,6,2311113,0,0,0,0,0,0,0,0,0
8,41,4,8,El Paso County                ,306,306,110537904,2,4,593425,0,0,0,0,0,0,306,306,110537904,2,4,593425,0,0,0,0,0,0
8,47,4,8,Gilpin County                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,49,4,8,Grand County                  ,14,14,3309960,0,0,0,0,0,0,1,5,552045,0,0,0,0,0,0,0,0,0,0,0,0
8,59,4,8,Jefferson County              ,74,74,19179884,2,4,759447,0,0,0,0,0,0,74,74,19179884,2,4,759447,0,0,0,0,0,0
8,69,4,8,Larimer County                ,115,115,29558308,0,0,0,0,0,0,3,56,4710754,115,115,29558308,0,0,0,0,0,0,3,56,4710754
