FIPS_State_Code,FIPS_County_Code,Census_Region_Code,Census_Division_Code,County_Name,Estimated_1_Unit_Buildings,Estimated_1_Unit_Total_Units,Estimated_1_Unit_Total_Value,Estimated_2_Unit_Buildings,Estimated_2_Unit_Total_Units,Estimated_2_Unit_Total_Value,Estimated_3to4_Unit_Buildings,Estimated_3to4_Unit_Total_Units,Estimated_3to4_Unit_Total_Value,Estimated_5plus_Unit_Buildings,Estimated_5plus_Unit_Total_Units,Estimated_5plus_Unit_Total_Value,Reported_1_Unit_Buildings,Reported_1_Unit_Total_Units,Reported_1_Unit_Total_Value,Reported_2_Unit_Buildings,Reported_2_Unit_Total_Units,Reported_2_Unit_Total_Value,Reported_3to4_Unit_Buildings,Reported_3to4_Unit_Total_Units,Reported_3to4_Unit_Total_Value,Reported_5plus_Unit_Buildings,Reported_5plus_Unit_Total_Units,Reported_5plus_Unit_Total_Value
1,81,3,6,Lee County                    ,21,21,2738223,0,0,0,0,0,0,0,0,0,21,21,2738223,0,0,0,0,0,0,0,0,0
1,113,3,6,Russell County                ,6,6,482021,0,0,0,0,0,0,0,0,0,6,6,482021,0,0,0,0,0,0,0,0,0
1,125,3,6,Tuscaloosa County             ,44,44,4457917,0,0,0,0,0,0,0,0,0,44,44,4457917,0,0,0,0,0,0,0,0,0
2,13,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,16,4,9,Aleutians West Census Area    ,15,15,2081002,0,0,0,0,0,0,0,0,0,15,15,2081002,0,0,0,0,0,0,0,0,0
2,20,4,9,Anchorage Borough             ,81,81,15522679,6,12,1776047,2,6,971304,0,0,0,81,81,15522679,6,12,1776047,2,6,971304,0,0,0
2,50,4,9,Bethel Census Area            ,7,7,700000,0,0,0,0,0,0,0,0,0,7,7,700000,0,0,0,0,0,0,0,0,0
2,60,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,90,4,9,Fairbanks North Star Borough  ,20,20,1096524,0,0,0,0,0,0,0,0,0,19,19,1004700,0,0,0,0,0,0,0,0,0
2,122,4,9,Kenai Peninsula Borough       ,12,12,1087439,0,0,0,0,0,0,0,0,0,10,10,872839,0,0,0,0,0,0,0,0,0
2,170,4,9,Matanuska-Susitna Borough     ,5,5,582867,0,0,0,0,0,0,0,0,0,5,5,582867,0,0,0,0,0,0,0,0,0
2,180,4,9,Nome Census Area              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,232,4,9,Skagway-Hoonah-Angoon Census A,2,2,80000,0,0,0,0,0,0,0,0,0,2,2,80000,0,0,0,0,0,0,0,0,0
2,261,4,9,Valdez-Cordova Census Area    ,6,6,872856,0,0,0,0,0,0,0,0,0,6,6,872856,0,0,0,0,0,0,0,0,0
4,13,4,8,Maricopa County               ,2425,2425,323711766,0,0,0,10,39,3287391,78,689,39081589,2418,2418,323200636,0,0,0,10,39,3287391,78,689,39081589
4,15,4,8,Mohave County                 ,151,151,13576366,1,2,111082,0,0,0,0,0,0,84,84,7489711,0,0,0,0,0,0,0,0,0
4,21,4,8,Pinal County                  ,123,123,14232627,0,0,0,2,8,380013,2,22,1296137,105,105,12609345,0,0,0,0,0,0,0,0,0
5,23,3,7,Cleburne County               ,3,3,597000,0,0,0,0,0,0,0,0,0,3,3,597000,0,0,0,0,0,0,0,0,0
5,35,3,7,Crittenden County             ,12,12,1336602,0,0,0,0,0,0,0,0,0,12,12,1336602,0,0,0,0,0,0,0,0,0
5,43,3,7,Drew County                   ,3,3,349952,0,0,0,0,0,0,0,0,0,3,3,349952,0,0,0,0,0,0,0,0,0
