FIPS_State_Code,FIPS_County_Code,Census_Region_Code,Census_Division_Code,County_Name,Estimated_1_Unit_Buildings,Estimated_1_Unit_Total_Units,Estimated_1_Unit_Total_Value,Estimated_2_Unit_Buildings,Estimated_2_Unit_Total_Units,Estimated_2_Unit_Total_Value,Estimated_3to4_Unit_Buildings,Estimated_3to4_Unit_Total_Units,Estimated_3to4_Unit_Total_Value,Estimated_5plus_Unit_Buildings,Estimated_5plus_Unit_Total_Units,Estimated_5plus_Unit_Total_Value,Reported_1_Unit_Buildings,Reported_1_Unit_Total_Units,Reported_1_Unit_Total_Value,Reported_2_Unit_Buildings,Reported_2_Unit_Total_Units,Reported_2_Unit_Total_Value,Reported_3to4_Unit_Buildings,Reported_3to4_Unit_Total_Units,Reported_3to4_Unit_Total_Value,Reported_5plus_Unit_Buildings,Reported_5plus_Unit_Total_Units,Reported_5plus_Unit_Total_Value
1,1,3,6,Autauga County                ,276,276,13856975,0,0,0,0,0,0,0,0,0,276,276,13856975,0,0,0,0,0,0,0,0,0
1,81,3,6,Lee County                    ,421,421,59980937,44,88,4888399,13,51,3516322,69,756,39407727,397,397,56732810,42,84,4652469,13,51,3516322,66,715,37386348
1,113,3,6,Russell County                ,171,171,15295744,34,68,4392920,0,0,0,0,0,0,171,171,15295744,34,68,4392920,0,0,0,0,0,0
2,0,4,9,Alaska Balance of State       ,149,149,28667229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,13,4,9,Aleutians East Borough        ,1,1,151370,0,0,0,0,0,0,0,0,0,1,1,151370,0,0,0,0,0,0,0,0,0
2,16,4,9,Aleutians West Census Area    ,8,8,685160,0,0,0,0,0,0,0,0,0,7,7,541370,0,0,0,0,0,0,0,0,0
2,20,4,9,Anchorage Borough             ,923,923,190964408,339,678,93490123,33,120,10901204,28,267,30610975,923,923,190964408,339,678,93490123,33,120,10901204,28,267,30610975
2,50,4,9,Bethel Census Area            ,42,42,6302740,0,0,0,1,4,600000,0,0,0,42,42,6302740,0,0,0,1,4,600000,0,0,0
2,60,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,90,4,9,Fairbanks North Star Borough  ,174,174,22067806,5,10,425000,0,0,0,0,0,0,150,150,19703500,5,10,425000,0,0,0,0,0,0
2,100,4,9,Haines Borough                ,6,6,770000,0,0,0,0,0,0,0,0,0,6,6,770000,0,0,0,0,0,0,0,0,0
2,110,4,9,Juneau Borough                ,81,81,17780303,7,14,2288734,0,0,0,1,22,2018987,81,81,17780303,7,14,2288734,0,0,0,1,22,2018987
2,122,4,9,Kenai Peninsula Borough       ,94,94,12636738,1,2,214000,2,6,1473000,0,0,0,92,92,12601738,1,2,214000,2,6,1473000,0,0,0
2,130,4,9,Ketchikan Gateway Borough     ,17,17,2546833,4,8,780472,0,0,0,0,0,0,15,15,2274521,4,8,780472,0,0,0,0,0,0
2,150,4,9,Kodiak Island Borough         ,40,40,6500961,5,10,1063801,3,12,1168611,0,0,0,40,40,6500961,5,10,1063801,3,12,1168611,0,0,0
2,170,4,9,Matanuska-Susitna Borough     ,84,84,12610953,17,34,3624130,14,52,4140709,5,38,2845763,84,84,12610953,17,34,3624130,14,52,4140709,5,38,2845763
2,180,4,9,Nome Census Area              ,2,2,156257,0,0,0,1,3,139682,0,0,0,2,2,156257,0,0,0,1,3,139682,0,0,0
2,185,4,9,North Slope Borough           ,19,19,2397127,2,4,325232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,201,4,9,Prince of Wales-Outer Ketchika,3,3,259086,0,0,0,0,0,0,0,0,0,2,2,130000,0,0,0,0,0,0,0,0,0
2,220,4,9,Sitka Borough                 ,32,32,3196984,7,14,1019389,0,0,0,0,0,0,4,4,644000,0,0,0,0,0,0,0,0,0
2,232,4,9,Skagway-Hoonah-Angoon Census A,15,15,1824694,0,0,0,0,0,0,0,0,0,15,15,1824694,0,0,0,0,0,0,0,0,0
2,261,4,9,Valdez-Cordova Census Area    ,17,17,2329594,0,0,0,1,3,80000,0,0,0,15,15,1983377,0,0,0,1,3,80000,0,0,0
2,280,4,9,Wrangell-Petersburg Census Are,10,10,1621220,0,0,0,0,0,0,0,0,0,9,9,1523470,0,0,0,0,0,0,0,0,0
2,282,4,9,Yakutat Borough               ,5,5,552500,0,0,0,0,0,0,0,0,0,4,4,450000,0,0,0,0,0,0,0,0,0
4,13,4,8,Maricopa County               ,35521,35521,5369289313,30,60,5738208,76,282,20390119,485,6809,445767455,35103,35103,5327691032,30,60,5738208,76,282,20390119,485,6809,445767455
4,15,4,8,Mohave County                 ,2546,2546,243727922,94,188,12133894,5,19,995647,2,36,2817871,2487,2487,237731196,93,186,11981175,5,19,995647,2,36,2817871
4,21,4,8,Pinal County                  ,4341,4341,466196651,44,88,5190000,18,72,3657465,0,0,0,4278,4278,459448577,44,88,5190000,18,72,3657465,0,0,0
5,23,3,7,Cleburne County               ,58,58,5020000,0,0,0,2,8,560000,0,0,0,58,58,5020000,0,0,0,2,8,560000,0,0,0
5,35,3,7,Crittenden County             ,115,115,15535262,0,0,0,0,0,0,16,120,5400000,115,115,15535262,0,0,0,0,0,0,16,120,5400000
5,43,3,7,Drew County                   ,12,12,2491130,2,4,60000,0,0,0,4,32,1330000,12,12,2491130,2,4,60000,0,0,0,4,32,1330000
5,55,3,7,Greene County                 ,162,162,10423000,4,8,167000,2,6,190000,0,0,0,161,161,10368000,4,8,167000,2,6,190000,0,0,0
5,61,3,7,Howard County                 ,9,9,625500,0,0,0,0,0,0,0,0,0,8,8,545500,0,0,0,0,0,0,0,0,0
5,71,3,7,Johnson County                ,74,74,4534384,0,0,0,0,0,0,0,0,0,74,74,4534384,0,0,0,0,0,0,0,0,0
6,1,4,9,Alameda County                ,2365,2365,729722533,15,30,4093384,13,47,6335936,49,1152,131840813,2334,2334,719702421,15,30,4093384,13,47,6335936,49,1152,131840813
6,3,4,9,Alpine County                 ,26,26,8653442,0,0,0,0,0,0,2,36,18205591,26,26,8653442,0,0,0,0,0,0,2,36,18205591
6,9,4,9,Calaveras County              ,533,533,116101715,0,0,0,0,0,0,0,0,0,490,490,107748418,0,0,0,0,0,0,0,0,0
6,13,4,9,Contra Costa County           ,4996,4996,1193220369,5,10,1238961,5,20,1861633,19,531,46091076,4970,4970,1187023856,5,10,1238961,5,20,1861633,19,531,46091076
6,17,4,9,El Dorado County              ,1637,1637,420392753,12,24,3023443,1,4,631877,13,160,11159563,1637,1637,420392753,12,24,3023443,1,4,631877,13,160,11159563
6,19,4,9,Fresno County                 ,3606,3606,551099750,7,14,733890,5,16,800403,6,160,11861480,3571,3571,548284537,3,6,269422,5,16,800403,5,155,11657100
6,27,4,9,Inyo County                   ,13,13,3237525,0,0,0,1,4,185760,0,0,0,13,13,3237525,0,0,0,1,4,185760,0,0,0
6,33,4,9,Lake County                   ,301,301,55655718,1,2,204174,3,10,1229115,0,0,0,301,301,55655718,1,2,204174,3,10,1229115,0,0,0
6,37,4,9,Los Angeles County            ,8182,8182,1800724292,132,264,25525769,62,219,15856292,554,7742,875367838,7668,7668,1689370126,118,236,23689627,34,127,11313850,491,7349,853529166
6,39,4,9,Madera County                 ,909,909,124420785,11,22,2080975,13,50,4232486,0,0,0,909,909,124420785,11,22,2080975,13,50,4232486,0,0,0
6,41,4,9,Marin County                  ,282,282,109701230,9,18,2352872,6,19,2830180,7,115,12513244,282,282,109701230,9,18,2352872,6,19,2830180,7,115,12513244
6,43,4,9,Mariposa County               ,191,191,32870204,0,0,0,0,0,0,0,0,0,191,191,32870204,0,0,0,0,0,0,0,0,0
6,49,4,9,Modoc County                  ,16,16,1654138,0,0,0,0,0,0,0,0,0,16,16,1654138,0,0,0,0,0,0,0,0,0
6,51,4,9,Mono County                   ,83,83,22769257,0,0,0,0,0,0,0,0,0,45,45,17494729,0,0,0,0,0,0,0,0,0
6,55,4,9,Napa County                   ,610,610,163827207,12,24,1880244,0,0,0,11,369,25258285,610,610,163827207,12,24,1880244,0,0,0,11,369,25258285
6,57,4,9,Nevada County                 ,730,730,124379870,7,14,1906482,22,87,9515427,7,56,5669695,693,693,119270645,7,14,1906482,22,87,9515427,7,56,5669695
