FIPS_State_Code,FIPS_County_Code,Census_Region_Code,Census_Division_Code,County_Name,Estimated_1_Unit_Buildings,Estimated_1_Unit_Total_Units,Estimated_1_Unit_Total_Value,Estimated_2_Unit_Buildings,Estimated_2_Unit_Total_Units,Estimated_2_Unit_Total_Value,Estimated_3to4_Unit_Buildings,Estimated_3to4_Unit_Total_Units,Estimated_3to4_Unit_Total_Value,Estimated_5plus_Unit_Buildings,Estimated_5plus_Unit_Total_Units,Estimated_5plus_Unit_Total_Value,Reported_1_Unit_Buildings,Reported_1_Unit_Total_Units,Reported_1_Unit_Total_Value,Reported_2_Unit_Buildings,Reported_2_Unit_Total_Units,Reported_2_Unit_Total_Value,Reported_3to4_Unit_Buildings,Reported_3to4_Unit_Total_Units,Reported_3to4_Unit_Total_Value,Reported_5plus_Unit_Buildings,Reported_5plus_Unit_Total_Units,Reported_5plus_Unit_Total_Value
1,1,3,6,Autauga County                ,26,26,3469829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,3,6,Bibb County                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,3,6,Blount County                 ,3,3,1232500,4,8,313560,0,0,0,0,0,0,3,3,1232500,4,8,313560,0,0,0,0,0,0
1,21,3,6,Chilton County                ,8,8,1129440,0,0,0,0,0,0,0,0,0,6,6,825000,0,0,0,0,0,0,0,0,0
1,37,3,6,Coosa County                  ,0,0,0,0,0,0,0,0,0,1,5,250000,0,0,0,0,0,0,0,0,0,0,0,0
1,73,3,6,Jefferson County              ,242,242,46642965,2,4,173344,0,0,0,1,68,14808000,222,222,43857238,2,4,173344,0,0,0,1,68,14808000
1,81,3,6,Lee County                    ,126,126,23084968,0,0,0,0,0,0,0,0,0,126,126,23084968,0,0,0,0,0,0,0,0,0
1,115,3,6,St. Clair County              ,35,35,3989828,0,0,0,0,0,0,0,0,0,35,35,3989828,0,0,0,0,0,0,0,0,0
1,117,3,6,Shelby County                 ,215,215,35187953,0,0,0,0,0,0,0,0,0,120,120,19079784,0,0,0,0,0,0,0,0,0
1,127,3,6,Walker County                 ,4,4,754000,0,0,0,0,0,0,0,0,0,4,4,754000,0,0,0,0,0,0,0,0,0
