FIPS_State_Code,FIPS_County_Code,Census_Region_Code,Census_Division_Code,County_Name,Estimated_1_Unit_Buildings,Estimated_1_Unit_Total_Units,Estimated_1_Unit_Total_Value,Estimated_2_Unit_Buildings,Estimated_2_Unit_Total_Units,Estimated_2_Unit_Total_Value,Estimated_3to4_Unit_Buildings,Estimated_3to4_Unit_Total_Units,Estimated_3to4_Unit_Total_Value,Estimated_5plus_Unit_Buildings,Estimated_5plus_Unit_Total_Units,Estimated_5plus_Unit_Total_Value,Reported_1_Unit_Buildings,Reported_1_Unit_Total_Units,Reported_1_Unit_Total_Value,Reported_2_Unit_Buildings,Reported_2_Unit_Total_Units,Reported_2_Unit_Total_Value,Reported_3to4_Unit_Buildings,Reported_3to4_Unit_Total_Units,Reported_3to4_Unit_Total_Value,Reported_5plus_Unit_Buildings,Reported_5plus_Unit_Total_Units,Reported_5plus_Unit_Total_Value
1,1,3,6,Autauga County                ,26,26,1370278,0,0,0,0,0,0,0,0,0,26,26,1370278,0,0,0,0,0,0,0,0,0
1,81,3,6,Lee County                    ,26,26,3584626,23,46,2410886,1,3,198488,0,0,0,26,26,3584626,23,46,2410886,1,3,198488,0,0,0
1,113,3,6,Russell County                ,5,5,485260,0,0,0,0,0,0,0,0,0,5,5,485260,0,0,0,0,0,0,0,0,0
1,125,3,6,Tuscaloosa County             ,50,50,5932918,0,0,0,0,0,0,0,0,0,50,50,5932918,0,0,0,0,0,0,0,0,0
2,13,4,9,Aleutians East Borough        ,1,1,85000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,20,4,9,Anchorage Borough             ,83,83,11537490,3,6,529902,0,0,0,0,0,0,83,83,11537490,3,6,529902,0,0,0,0,0,0
2,50,4,9,Bethel Census Area            ,5,5,645430,0,0,0,0,0,0,0,0,0,5,5,645430,0,0,0,0,0,0,0,0,0
2,60,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,90,4,9,Fairbanks North Star Borough  ,13,13,1745324,0,0,0,0,0,0,0,0,0,12,12,1653500,0,0,0,0,0,0,0,0,0
2,110,4,9,Juneau Borough                ,8,8,2101929,1,2,420706,0,0,0,0,0,0,8,8,2101929,1,2,420706,0,0,0,0,0,0
2,122,4,9,Kenai Peninsula Borough       ,4,4,648928,0,0,0,0,0,0,0,0,0,4,4,648928,0,0,0,0,0,0,0,0,0
2,170,4,9,Matanuska-Susitna Borough     ,1,1,134190,0,0,0,0,0,0,0,0,0,1,1,134190,0,0,0,0,0,0,0,0,0
2,180,4,9,Nome Census Area              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,232,4,9,Skagway-Hoonah-Angoon Census A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,261,4,9,Valdez-Cordova Census Area    ,1,1,210574,0,0,0,0,0,0,0,0,0,1,1,210574,0,0,0,0,0,0,0,0,0
2,280,4,9,Wrangell-Petersburg Census Are,1,1,120857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
