FIPS_State_Code,FIPS_County_Code,Census_Region_Code,Census_Division_Code,County_Name,Estimated_1_Unit_Buildings,Estimated_1_Unit_Total_Units,Estimated_1_Unit_Total_Value,Estimated_2_Unit_Buildings,Estimated_2_Unit_Total_Units,Estimated_2_Unit_Total_Value,Estimated_3to4_Unit_Buildings,Estimated_3to4_Unit_Total_Units,Estimated_3to4_Unit_Total_Value,Estimated_5plus_Unit_Buildings,Estimated_5plus_Unit_Total_Units,Estimated_5plus_Unit_Total_Value,Reported_1_Unit_Buildings,Reported_1_Unit_Total_Units,Reported_1_Unit_Total_Value,Reported_2_Unit_Buildings,Reported_2_Unit_Total_Units,Reported_2_Unit_Total_Value,Reported_3to4_Unit_Buildings,Reported_3to4_Unit_Total_Units,Reported_3to4_Unit_Total_Value,Reported_5plus_Unit_Buildings,Reported_5plus_Unit_Total_Units,Reported_5plus_Unit_Total_Value
1,1,3,6,Autauga County                ,112,112,28567650,0,0,0,0,0,0,0,0,0,112,112,28567650,0,0,0,0,0,0,0,0,0
1,7,3,6,Bibb County                   ,18,18,3062624,0,0,0,0,0,0,0,0,0,4,4,678000,0,0,0,0,0,0,0,0,0
1,9,3,6,Blount County                 ,4,4,521220,0,0,0,0,0,0,0,0,0,4,4,521220,0,0,0,0,0,0,0,0,0
1,21,3,6,Chilton County                ,21,21,2571015,0,0,0,0,0,0,0,0,0,16,16,1905814,0,0,0,0,0,0,0,0,0
1,37,3,6,Coosa County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,73,3,6,Jefferson County              ,1078,1078,281771458,1,2,201268,2,8,793108,32,657,54323951,1018,1018,265901968,1,2,201268,2,8,793108,21,360,33028466
1,81,3,6,Lee County                    ,613,613,177195074,0,0,0,0,0,0,1,5,510999,582,582,167607601,0,0,0,0,0,0,0,0,0
1,115,3,6,St. Clair County              ,80,80,12262627,0,0,0,0,0,0,0,0,0,78,78,11988108,0,0,0,0,0,0,0,0,0
1,117,3,6,Shelby County                 ,688,688,145753085,0,0,0,0,0,0,14,169,9442875,312,312,62551919,0,0,0,0,0,0,0,0,0
1,127,3,6,Walker County                 ,9,9,1295800,0,0,0,0,0,0,0,0,0,9,9,1295800,0,0,0,0,0,0,0,0,0
