FIPS_State_Code,FIPS_County_Code,Census_Region_Code,Census_Division_Code,County_Name,Estimated_1_Unit_Buildings,Estimated_1_Unit_Total_Units,Estimated_1_Unit_Total_Value,Estimated_2_Unit_Buildings,Estimated_2_Unit_Total_Units,Estimated_2_Unit_Total_Value,Estimated_3to4_Unit_Buildings,Estimated_3to4_Unit_Total_Units,Estimated_3to4_Unit_Total_Value,Estimated_5plus_Unit_Buildings,Estimated_5plus_Unit_Total_Units,Estimated_5plus_Unit_Total_Value,Reported_1_Unit_Buildings,Reported_1_Unit_Total_Units,Reported_1_Unit_Total_Value,Reported_2_Unit_Buildings,Reported_2_Unit_Total_Units,Reported_2_Unit_Total_Value,Reported_3to4_Unit_Buildings,Reported_3to4_Unit_Total_Units,Reported_3to4_Unit_Total_Value,Reported_5plus_Unit_Buildings,Reported_5plus_Unit_Total_Units,Reported_5plus_Unit_Total_Value
1,1,3,6,Autauga County                ,38,38,6784072,0,0,0,0,0,0,0,0,0,38,38,6784072,0,0,0,0,0,0,0,0,0
1,7,3,6,Bibb County                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,3,6,Blount County                 ,2,2,175000,2,4,156780,0,0,0,0,0,0,2,2,175000,2,4,156780,0,0,0,0,0,0
1,21,3,6,Chilton County                ,10,10,1425215,0,0,0,0,0,0,0,0,0,10,10,1425215,0,0,0,0,0,0,0,0,0
1,37,3,6,Coosa County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,73,3,6,Jefferson County              ,258,258,43057978,0,0,0,0,0,0,1,31,2414712,229,229,38635705,0,0,0,0,0,0,0,0,0
1,81,3,6,Lee County                    ,121,121,19580600,0,0,0,0,0,0,1,20,1708440,121,121,19580600,0,0,0,0,0,0,1,20,1708440
1,115,3,6,St. Clair County              ,68,68,6865188,0,0,0,0,0,0,0,0,0,68,68,6865188,0,0,0,0,0,0,0,0,0
1,117,3,6,Shelby County                 ,206,206,33419513,0,0,0,0,0,0,0,0,0,112,112,16637163,0,0,0,0,0,0,0,0,0
1,127,3,6,Walker County                 ,2,2,284323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,4,9,Alaska Balance of State       ,17,17,3258565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,13,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,16,4,9,Aleutians West Census Area    ,1,1,98300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,20,4,9,Anchorage Borough             ,39,39,12591058,3,6,984564,0,0,0,1,7,836366,39,39,12591058,3,6,984564,0,0,0,1,7,836366
2,50,4,9,Bethel Census Area            ,4,4,572108,1,2,160000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,60,4,9,Bristol Bay Borough           ,3,3,400000,0,0,0,0,0,0,0,0,0,3,3,400000,0,0,0,0,0,0,0,0,0
2,90,4,9,Fairbanks North Star Borough  ,25,25,6108709,1,2,250000,2,6,560000,0,0,0,23,23,5878800,1,2,250000,2,6,560000,0,0,0
2,100,4,9,Haines Borough                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,110,4,9,Juneau Borough                ,5,5,1347325,0,0,0,0,0,0,0,0,0,5,5,1347325,0,0,0,0,0,0,0,0,0
2,122,4,9,Kenai Peninsula Borough       ,20,20,3313290,0,0,0,7,28,3069948,0,0,0,15,15,2369931,0,0,0,7,28,3069948,0,0,0
2,130,4,9,Ketchikan Gateway Borough     ,4,4,745272,0,0,0,0,0,0,0,0,0,4,4,745272,0,0,0,0,0,0,0,0,0
2,150,4,9,Kodiak Island Borough         ,3,3,711814,0,0,0,0,0,0,0,0,0,3,3,711814,0,0,0,0,0,0,0,0,0
