FIPS_State_Code,FIPS_County_Code,Census_Region_Code,Census_Division_Code,County_Name,Estimated_1_Unit_Buildings,Estimated_1_Unit_Total_Units,Estimated_1_Unit_Total_Value,Estimated_2_Unit_Buildings,Estimated_2_Unit_Total_Units,Estimated_2_Unit_Total_Value,Estimated_3to4_Unit_Buildings,Estimated_3to4_Unit_Total_Units,Estimated_3to4_Unit_Total_Value,Estimated_5plus_Unit_Buildings,Estimated_5plus_Unit_Total_Units,Estimated_5plus_Unit_Total_Value,Reported_1_Unit_Buildings,Reported_1_Unit_Total_Units,Reported_1_Unit_Total_Value,Reported_2_Unit_Buildings,Reported_2_Unit_Total_Units,Reported_2_Unit_Total_Value,Reported_3to4_Unit_Buildings,Reported_3to4_Unit_Total_Units,Reported_3to4_Unit_Total_Value,Reported_5plus_Unit_Buildings,Reported_5plus_Unit_Total_Units,Reported_5plus_Unit_Total_Value
1,1,3,6,Autauga County                ,14,14,3939333,0,0,0,0,0,0,0,0,0,14,14,3939333,0,0,0,0,0,0,0,0,0
1,7,3,6,Bibb County                   ,1,1,323863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,3,6,Blount County                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21,3,6,Chilton County                ,1,1,139000,0,0,0,0,0,0,0,0,0,1,1,139000,0,0,0,0,0,0,0,0,0
1,73,3,6,Jefferson County              ,108,108,25692177,0,0,0,0,0,0,1,64,6134388,60,60,15712547,0,0,0,0,0,0,0,0,0
1,83,3,6,Limestone County              ,13,13,2392407,0,0,0,0,0,0,0,0,0,13,13,2392407,0,0,0,0,0,0,0,0,0
1,89,3,6,Madison County                ,206,206,31718810,0,0,0,0,0,0,1,36,324000,205,205,31592495,0,0,0,0,0,0,1,36,324000
1,113,3,6,Russell County                ,17,17,3321192,0,0,0,0,0,0,0,0,0,10,10,2156116,0,0,0,0,0,0,0,0,0
1,115,3,6,St. Clair County              ,10,10,1861997,0,0,0,0,0,0,0,0,0,6,6,1028856,0,0,0,0,0,0,0,0,0
1,117,3,6,Shelby County                 ,99,99,21193435,0,0,0,0,0,0,1,13,221000,46,46,8324869,0,0,0,0,0,0,0,0,0
1,127,3,6,Walker County                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,13,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,16,4,9,Aleutians West Census Area    ,1,1,98118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,20,4,9,Anchorage Borough             ,75,75,23471906,0,0,0,1,3,522682,2,14,2213338,0,0,0,0,0,0,0,0,0,0,0,0
2,20,4,9,Anchorage Municipality        ,75,75,23471906,0,0,0,1,3,522682,2,14,2213338,0,0,0,0,0,0,0,0,0,0,0,0
2,50,4,9,Bethel Census Area            ,3,3,900000,0,0,0,0,0,0,0,0,0,3,3,900000,0,0,0,0,0,0,0,0,0
2,60,4,9,Bristol Bay Borough           ,1,1,250000,0,0,0,0,0,0,0,0,0,1,1,250000,0,0,0,0,0,0,0,0,0
