FIPS_State_Code,FIPS_County_Code,Census_Region_Code,Census_Division_Code,County_Name,Estimated_1_Unit_Buildings,Estimated_1_Unit_Total_Units,Estimated_1_Unit_Total_Value,Estimated_2_Unit_Buildings,Estimated_2_Unit_Total_Units,Estimated_2_Unit_Total_Value,Estimated_3to4_Unit_Buildings,Estimated_3to4_Unit_Total_Units,Estimated_3to4_Unit_Total_Value,Estimated_5plus_Unit_Buildings,Estimated_5plus_Unit_Total_Units,Estimated_5plus_Unit_Total_Value,Reported_1_Unit_Buildings,Reported_1_Unit_Total_Units,Reported_1_Unit_Total_Value,Reported_2_Unit_Buildings,Reported_2_Unit_Total_Units,Reported_2_Unit_Total_Value,Reported_3to4_Unit_Buildings,Reported_3to4_Unit_Total_Units,Reported_3to4_Unit_Total_Value,Reported_5plus_Unit_Buildings,Reported_5plus_Unit_Total_Units,Reported_5plus_Unit_Total_Value
1,1,3,6,Autauga County                ,20,20,6081846,0,0,0,0,0,0,0,0,0,20,20,6081846,0,0,0,0,0,0,0,0,0
1,7,3,6,Bibb County                   ,1,1,235594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,3,6,Blount County                 ,1,1,208100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21,3,6,Chilton County                ,5,5,974000,0,0,0,0,0,0,0,0,0,5,5,974000,0,0,0,0,0,0,0,0,0
1,73,3,6,Jefferson County              ,153,153,37677456,0,0,0,0,0,0,1,34,4566156,133,133,34580504,0,0,0,0,0,0,0,0,0
1,81,3,6,Lee County                    ,70,70,19979295,1,2,144250,0,0,0,0,0,0,23,23,6389511,0,0,0,0,0,0,0,0,0
1,83,3,6,Limestone County              ,2,2,513254,0,0,0,0,0,0,0,0,0,2,2,513254,0,0,0,0,0,0,0,0,0
1,89,3,6,Madison County                ,197,197,36869049,0,0,0,0,0,0,2,60,653692,197,197,36869049,0,0,0,0,0,0,2,60,653692
1,113,3,6,Russell County                ,12,12,1924413,0,0,0,0,0,0,0,0,0,12,12,1924413,0,0,0,0,0,0,0,0,0
1,115,3,6,St. Clair County              ,17,17,3082486,0,0,0,0,0,0,0,0,0,13,13,2278298,0,0,0,0,0,0,0,0,0
1,117,3,6,Shelby County                 ,84,84,19508485,0,0,0,0,0,0,1,5,767250,25,25,5099363,0,0,0,0,0,0,0,0,0
1,127,3,6,Walker County                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,13,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,16,4,9,Aleutians West Census Area    ,1,1,98118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,20,4,9,Anchorage Municipality        ,65,65,20366482,0,0,0,1,3,520780,1,12,1897147,0,0,0,0,0,0,0,0,0,0,0,0
2,50,4,9,Bethel Census Area            ,5,5,300000,0,0,0,0,0,0,0,0,0,5,5,300000,0,0,0,0,0,0,0,0,0
2,60,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,70,4,9,Dillingham Census Area        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
