FIPS_State_Code,FIPS_County_Code,Census_Region_Code,Census_Division_Code,County_Name,Estimated_1_Unit_Buildings,Estimated_1_Unit_Total_Units,Estimated_1_Unit_Total_Value,Estimated_2_Unit_Buildings,Estimated_2_Unit_Total_Units,Estimated_2_Unit_Total_Value,Estimated_3to4_Unit_Buildings,Estimated_3to4_Unit_Total_Units,Estimated_3to4_Unit_Total_Value,Estimated_5plus_Unit_Buildings,Estimated_5plus_Unit_Total_Units,Estimated_5plus_Unit_Total_Value,Reported_1_Unit_Buildings,Reported_1_Unit_Total_Units,Reported_1_Unit_Total_Value,Reported_2_Unit_Buildings,Reported_2_Unit_Total_Units,Reported_2_Unit_Total_Value,Reported_3to4_Unit_Buildings,Reported_3to4_Unit_Total_Units,Reported_3to4_Unit_Total_Value,Reported_5plus_Unit_Buildings,Reported_5plus_Unit_Total_Units,Reported_5plus_Unit_Total_Value
1,1,3,6,Autauga County                ,232,232,75056757,0,0,0,0,0,0,0,0,0,232,232,75056757,0,0,0,0,0,0,0,0,0
1,7,3,6,Bibb County                   ,14,14,1903980,0,0,0,0,0,0,0,0,0,13,13,1695000,0,0,0,0,0,0,0,0,0
1,9,3,6,Blount County                 ,16,16,2539316,0,0,0,0,0,0,0,0,0,16,16,2539316,0,0,0,0,0,0,0,0,0
1,21,3,6,Chilton County                ,27,27,3689787,0,0,0,0,0,0,0,0,0,27,27,3689787,0,0,0,0,0,0,0,0,0
1,73,3,6,Jefferson County              ,1037,1037,326301791,9,18,2471172,0,0,0,17,280,28492335,936,936,306162388,2,4,739869,0,0,0,8,200,20330546
1,81,3,6,Lee County                    ,907,907,241750554,7,14,2528281,4,15,3145280,58,864,125488052,810,810,218993670,6,12,2099011,4,15,3145280,57,859,124951291
1,83,3,6,Limestone County              ,258,258,57921712,1,2,162000,4,15,4353000,5,30,1800000,255,255,57535999,1,2,162000,4,15,4353000,5,30,1800000
1,89,3,6,Madison County                ,2464,2464,456654884,12,24,2022660,0,0,0,0,0,0,2119,2119,386003262,12,24,2022660,0,0,0,0,0,0
1,113,3,6,Russell County                ,72,72,12585058,6,12,670739,0,0,0,0,0,0,72,72,12585058,6,12,670739,0,0,0,0,0,0
1,115,3,6,St. Clair County              ,218,218,33375196,0,0,0,0,0,0,0,0,0,173,173,24658393,0,0,0,0,0,0,0,0,0
1,117,3,6,Shelby County                 ,900,900,230775100,0,0,0,0,0,0,0,0,0,521,521,127537975,0,0,0,0,0,0,0,0,0
1,127,3,6,Walker County                 ,38,38,6450872,0,0,0,0,0,0,0,0,0,37,37,6214465,0,0,0,0,0,0,0,0,0
2,13,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,16,4,9,Aleutians West Census Area    ,2,2,196236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,20,4,9,Anchorage Municipality        ,394,394,128354158,1,2,564514,7,26,4445342,9,134,19697341,35,35,15893190,1,2,564514,2,8,1318544,3,75,10369703
2,50,4,9,Bethel Census Area            ,11,11,3265172,2,4,691450,0,0,0,0,0,0,11,11,3265172,2,4,691450,0,0,0,0,0,0
2,60,4,9,Bristol Bay Borough           ,1,1,155000,0,0,0,0,0,0,0,0,0,1,1,155000,0,0,0,0,0,0,0,0,0
2,70,4,9,Dillingham Census Area        ,1,1,282835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,90,4,9,Fairbanks North Star Borough  ,7,7,2367150,0,0,0,3,11,2279892,0,0,0,6,6,2019030,0,0,0,3,11,2279892,0,0,0
2,100,4,9,Haines Borough                ,2,2,249444,0,0,0,0,0,0,0,0,0,1,1,100000,0,0,0,0,0,0,0,0,0
2,105,4,9,Hoonah-Angoon Census Area     ,5,5,1484169,0,0,0,0,0,0,1,16,7000000,5,5,1484169,0,0,0,0,0,0,1,16,7000000
2,110,4,9,Juneau City and Borough       ,20,20,4706838,0,0,0,0,0,0,0,0,0,20,20,4706838,0,0,0,0,0,0,0,0,0
2,122,4,9,Kenai Peninsula Borough       ,50,50,13587221,1,2,300000,3,10,1727000,0,0,0,29,29,9052000,1,2,300000,3,10,1727000,0,0,0
2,130,4,9,Ketchikan Gateway Borough     ,20,20,5908678,2,4,691450,0,0,0,0,0,0,20,20,5908678,2,4,691450,0,0,0,0,0,0
2,150,4,9,Kodiak Island Borough         ,5,5,1175051,1,2,495399,2,6,963252,0,0,0,5,5,1175051,1,2,495399,2,6,963252,0,0,0
2,170,4,9,Matanuska-Susitna Borough     ,12,12,2804367,6,12,2074350,1,4,594546,0,0,0,10,10,2238697,6,12,2074350,1,4,594546,0,0,0
2,180,4,9,Nome Census Area              ,6,6,1075678,0,0,0,0,0,0,0,0,0,3,3,529828,0,0,0,0,0,0,0,0,0
2,185,4,9,North Slope Borough           ,2,2,593668,0,0,0,0,0,0,0,0,0,2,2,593668,0,0,0,0,0,0,0,0,0
2,188,4,9,Northwest Arctic Borough      ,9,9,2671504,0,0,0,0,0,0,0,0,0,9,9,2671504,0,0,0,0,0,0,0,0,0
2,195,4,9,Petersburg Borough            ,5,5,962227,2,4,775000,0,0,0,0,0,0,0,0,0,2,4,775000,0,0,0,0,0,0
2,198,4,9,Prince of Wales-Hyder Census A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,220,4,9,Sitka City and Borough        ,5,5,1145033,1,2,306156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
