FIPS_State_Code,FIPS_County_Code,Census_Region_Code,Census_Division_Code,County_Name,Estimated_1_Unit_Buildings,Estimated_1_Unit_Total_Units,Estimated_1_Unit_Total_Value,Estimated_2_Unit_Buildings,Estimated_2_Unit_Total_Units,Estimated_2_Unit_Total_Value,Estimated_3to4_Unit_Buildings,Estimated_3to4_Unit_Total_Units,Estimated_3to4_Unit_Total_Value,Estimated_5plus_Unit_Buildings,Estimated_5plus_Unit_Total_Units,Estimated_5plus_Unit_Total_Value,Reported_1_Unit_Buildings,Reported_1_Unit_Total_Units,Reported_1_Unit_Total_Value,Reported_2_Unit_Buildings,Reported_2_Unit_Total_Units,Reported_2_Unit_Total_Value,Reported_3to4_Unit_Buildings,Reported_3to4_Unit_Total_Units,Reported_3to4_Unit_Total_Value,Reported_5plus_Unit_Buildings,Reported_5plus_Unit_Total_Units,Reported_5plus_Unit_Total_Value
1,1,3,6,Autauga County                ,46,46,7999323,0,0,0,0,0,0,0,0,0,46,46,7999323,0,0,0,0,0,0,0,0,0
1,7,3,6,Bibb County                   ,1,1,75000,0,0,0,0,0,0,0,0,0,1,1,75000,0,0,0,0,0,0,0,0,0
1,9,3,6,Blount County                 ,4,4,1354915,0,0,0,0,0,0,0,0,0,4,4,1354915,0,0,0,0,0,0,0,0,0
1,21,3,6,Chilton County                ,13,13,1718994,0,0,0,0,0,0,1,6,367347,12,12,1462000,0,0,0,0,0,0,0,0,0
1,37,3,6,Coosa County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,73,3,6,Jefferson County              ,364,364,66005449,0,0,0,0,0,0,5,88,6101228,331,331,61227785,0,0,0,0,0,0,0,0,0
1,81,3,6,Lee County                    ,148,148,22858478,0,0,0,0,0,0,2,30,998331,148,148,22858478,0,0,0,0,0,0,2,30,998331
1,115,3,6,St. Clair County              ,61,61,9374779,0,0,0,1,4,356610,0,0,0,61,61,9374779,0,0,0,1,4,356610,0,0,0
1,117,3,6,Shelby County                 ,239,239,38892805,0,0,0,0,0,0,1,5,304249,68,68,12306995,0,0,0,0,0,0,0,0,0
1,127,3,6,Walker County                 ,6,6,924875,0,0,0,0,0,0,0,0,0,3,3,515000,0,0,0,0,0,0,0,0,0
2,0,4,9,Alaska Balance of State       ,17,17,3258565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,13,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,16,4,9,Aleutians West Census Area    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,20,4,9,Anchorage Borough             ,62,62,15576634,18,36,5652834,1,4,474178,6,58,7095033,0,0,0,0,0,0,0,0,0,0,0,0
2,50,4,9,Bethel Census Area            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,60,4,9,Bristol Bay Borough           ,1,1,300000,0,0,0,0,0,0,0,0,0,1,1,300000,0,0,0,0,0,0,0,0,0
2,90,4,9,Fairbanks North Star Borough  ,11,11,2011824,0,0,0,0,0,0,0,0,0,10,10,1920000,0,0,0,0,0,0,0,0,0
2,100,4,9,Haines Borough                ,2,2,300000,0,0,0,0,0,0,0,0,0,2,2,300000,0,0,0,0,0,0,0,0,0
2,110,4,9,Juneau Borough                ,7,7,2187610,1,2,344862,0,0,0,0,0,0,7,7,2187610,1,2,344862,0,0,0,0,0,0
2,122,4,9,Kenai Peninsula Borough       ,4,4,762030,0,0,0,0,0,0,0,0,0,4,4,762030,0,0,0,0,0,0,0,0,0
2,130,4,9,Ketchikan Gateway Borough     ,1,1,173676,0,0,0,0,0,0,0,0,0,1,1,173676,0,0,0,0,0,0,0,0,0
2,150,4,9,Kodiak Island Borough         ,4,4,673557,2,4,458146,0,0,0,0,0,0,4,4,673557,2,4,458146,0,0,0,0,0,0
2,170,4,9,Matanuska-Susitna Borough     ,12,12,1977929,0,0,0,0,0,0,0,0,0,8,8,1537929,0,0,0,0,0,0,0,0,0
