FIPS_State_Code,FIPS_County_Code,Census_Region_Code,Census_Division_Code,County_Name,Estimated_1_Unit_Buildings,Estimated_1_Unit_Total_Units,Estimated_1_Unit_Total_Value,Estimated_2_Unit_Buildings,Estimated_2_Unit_Total_Units,Estimated_2_Unit_Total_Value,Estimated_3to4_Unit_Buildings,Estimated_3to4_Unit_Total_Units,Estimated_3to4_Unit_Total_Value,Estimated_5plus_Unit_Buildings,Estimated_5plus_Unit_Total_Units,Estimated_5plus_Unit_Total_Value,Reported_1_Unit_Buildings,Reported_1_Unit_Total_Units,Reported_1_Unit_Total_Value,Reported_2_Unit_Buildings,Reported_2_Unit_Total_Units,Reported_2_Unit_Total_Value,Reported_3to4_Unit_Buildings,Reported_3to4_Unit_Total_Units,Reported_3to4_Unit_Total_Value,Reported_5plus_Unit_Buildings,Reported_5plus_Unit_Total_Units,Reported_5plus_Unit_Total_Value
1,1,3,6,Autauga County                                              ,134,134,44035492,0,0,0,0,0,0,0,0,0,134,134,44035492,0,0,0,0,0,0,0,0,0
1,7,3,6,Bibb County                                                 ,10,10,2585000,0,0,0,0,0,0,0,0,0,10,10,2585000,0,0,0,0,0,0,0,0,0
1,9,3,6,Blount County                                               ,8,8,1130129,0,0,0,0,0,0,0,0,0,8,8,1130129,0,0,0,0,0,0,0,0,0
1,21,3,6,Chilton County                                              ,58,58,8296265,0,0,0,0,0,0,0,0,0,56,56,7925303,0,0,0,0,0,0,0,0,0
1,73,3,6,Jefferson County                                            ,687,687,228171049,5,10,1236645,0,0,0,6,48,4934918,447,447,165381585,0,0,0,0,0,0,0,0,0
1,75,3,6,Lamar County                                                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,81,3,6,Lee County                                                  ,742,742,205027956,15,30,4712112,6,24,1984646,12,245,33392530,619,619,175670769,15,30,4712112,6,24,1984646,11,240,32776360
1,83,3,6,Limestone County                                            ,174,174,48801345,3,6,486000,8,26,2407160,0,0,0,174,174,48801345,3,6,486000,8,26,2407160,0,0,0
1,89,3,6,Madison County                                              ,1798,1798,311032437,2,4,337110,0,0,0,14,461,55297532,938,938,144132277,0,0,0,0,0,0,13,456,54713849
1,113,3,6,Russell County                                              ,57,57,10724343,7,14,795879,0,0,0,0,0,0,57,57,10724343,7,14,795879,0,0,0,0,0,0
1,115,3,6,St. Clair County                                            ,230,230,43202926,0,0,0,0,0,0,0,0,0,157,157,31254041,0,0,0,0,0,0,0,0,0
1,117,3,6,Shelby County                                               ,671,671,191466993,0,0,0,0,0,0,0,0,0,655,655,188525444,0,0,0,0,0,0,0,0,0
