FIPS_State_Code,FIPS_County_Code,Census_Region_Code,Census_Division_Code,County_Name,Estimated_1_Unit_Buildings,Estimated_1_Unit_Total_Units,Estimated_1_Unit_Total_Value,Estimated_2_Unit_Buildings,Estimated_2_Unit_Total_Units,Estimated_2_Unit_Total_Value,Estimated_3to4_Unit_Buildings,Estimated_3to4_Unit_Total_Units,Estimated_3to4_Unit_Total_Value,Estimated_5plus_Unit_Buildings,Estimated_5plus_Unit_Total_Units,Estimated_5plus_Unit_Total_Value,Reported_1_Unit_Buildings,Reported_1_Unit_Total_Units,Reported_1_Unit_Total_Value,Reported_2_Unit_Buildings,Reported_2_Unit_Total_Units,Reported_2_Unit_Total_Value,Reported_3to4_Unit_Buildings,Reported_3to4_Unit_Total_Units,Reported_3to4_Unit_Total_Value,Reported_5plus_Unit_Buildings,Reported_5plus_Unit_Total_Units,Reported_5plus_Unit_Total_Value
1,1,3,6,Autauga County                ,107,107,17206807,0,0,0,0,0,0,0,0,0,107,107,17206807,0,0,0,0,0,0,0,0,0
1,7,3,6,Bibb County                   ,2,2,309417,0,0,0,0,0,0,0,0,0,1,1,157048,0,0,0,0,0,0,0,0,0
1,9,3,6,Blount County                 ,23,23,3158878,0,0,0,0,0,0,0,0,0,23,23,3158878,0,0,0,0,0,0,0,0,0
1,21,3,6,Chilton County                ,27,27,3972598,0,0,0,0,0,0,0,0,0,23,23,3381000,0,0,0,0,0,0,0,0,0
1,37,3,6,Coosa County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,73,3,6,Jefferson County              ,991,991,188136665,0,0,0,0,0,0,1,48,5322456,948,948,179905342,0,0,0,0,0,0,1,48,5322456
1,81,3,6,Lee County                    ,430,430,72262894,6,12,1213369,0,0,0,5,153,18508814,373,373,62261507,6,12,1213369,0,0,0,4,136,17074250
1,115,3,6,St. Clair County              ,157,157,22513992,0,0,0,0,0,0,0,0,0,157,157,22513992,0,0,0,0,0,0,0,0,0
1,117,3,6,Shelby County                 ,736,736,121614195,0,0,0,0,0,0,0,0,0,475,475,76466352,0,0,0,0,0,0,0,0,0
1,127,3,6,Walker County                 ,19,19,2837000,0,0,0,0,0,0,0,0,0,19,19,2837000,0,0,0,0,0,0,0,0,0
2,0,4,9,Alaska Balance of State       ,66,66,16785786,6,12,1702552,1,4,594078,0,0,0,22,22,8192642,6,12,1702552,1,4,594078,0,0,0
2,13,4,9,Aleutians East Borough        ,1,1,150000,0,0,0,1,4,423244,0,0,0,0,0,0,0,0,0,1,4,423244,0,0,0
2,16,4,9,Aleutians West Census Area    ,2,2,196600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,20,4,9,Anchorage Borough             ,85,85,28682930,40,80,12976385,2,8,1329776,5,103,8432693,46,46,17479494,35,70,11303832,1,4,719762,3,70,4191379
2,50,4,9,Bethel Census Area            ,11,11,1575011,1,2,160000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,60,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,90,4,9,Fairbanks North Star Borough  ,35,35,3872896,1,2,350000,3,10,930000,0,0,0,31,31,3505600,1,2,350000,3,10,930000,0,0,0
2,100,4,9,Haines Borough                ,3,3,305000,0,0,0,0,0,0,0,0,0,3,3,305000,0,0,0,0,0,0,0,0,0
2,110,4,9,Juneau Borough                ,21,21,5397406,2,4,634353,0,0,0,0,0,0,21,21,5397406,2,4,634353,0,0,0,0,0,0
2,122,4,9,Kenai Peninsula Borough       ,23,23,4992217,2,4,139500,0,0,0,1,8,834327,21,21,4607375,1,2,81000,0,0,0,1,8,834327
2,130,4,9,Ketchikan Gateway Borough     ,9,9,1709372,0,0,0,0,0,0,1,6,659262,9,9,1709372,0,0,0,0,0,0,1,6,659262
2,150,4,9,Kodiak Island Borough         ,4,4,754155,0,0,0,0,0,0,0,0,0,4,4,754155,0,0,0,0,0,0,0,0,0
2,170,4,9,Matanuska-Susitna Borough     ,24,24,3487333,0,0,0,0,0,0,0,0,0,11,11,2057333,0,0,0,0,0,0,0,0,0
2,180,4,9,Nome Census Area              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,185,4,9,North Slope Borough           ,3,3,558954,0,0,0,0,0,0,0,0,0,3,3,558954,0,0,0,0,0,0,0,0,0
