FIPS_State_Code,FIPS_County_Code,Census_Region_Code,Census_Division_Code,County_Name,Estimated_1_Unit_Buildings,Estimated_1_Unit_Total_Units,Estimated_1_Unit_Total_Value,Estimated_2_Unit_Buildings,Estimated_2_Unit_Total_Units,Estimated_2_Unit_Total_Value,Estimated_3to4_Unit_Buildings,Estimated_3to4_Unit_Total_Units,Estimated_3to4_Unit_Total_Value,Estimated_5plus_Unit_Buildings,Estimated_5plus_Unit_Total_Units,Estimated_5plus_Unit_Total_Value,Reported_1_Unit_Buildings,Reported_1_Unit_Total_Units,Reported_1_Unit_Total_Value,Reported_2_Unit_Buildings,Reported_2_Unit_Total_Units,Reported_2_Unit_Total_Value,Reported_3to4_Unit_Buildings,Reported_3to4_Unit_Total_Units,Reported_3to4_Unit_Total_Value,Reported_5plus_Unit_Buildings,Reported_5plus_Unit_Total_Units,Reported_5plus_Unit_Total_Value
1,1,3,6,Autauga County                ,109,109,29785129,0,0,0,0,0,0,0,0,0,109,109,29785129,0,0,0,0,0,0,0,0,0
1,7,3,6,Bibb County                   ,17,17,3004716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,3,6,Blount County                 ,3,3,420594,0,0,0,0,0,0,0,0,0,3,3,420594,0,0,0,0,0,0,0,0,0
1,21,3,6,Chilton County                ,10,10,879850,0,0,0,0,0,0,1,8,368300,10,10,879850,0,0,0,0,0,0,1,8,368300
1,37,3,6,Coosa County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,73,3,6,Jefferson County              ,1120,1120,286273992,1,2,246045,8,29,4617666,14,700,62196219,1099,1099,280362141,1,2,246045,8,29,4617666,12,689,61495693
1,81,3,6,Lee County                    ,642,642,176369803,1,2,243468,0,0,0,10,187,30130306,580,580,157490083,1,2,243468,0,0,0,9,182,28590514
1,117,3,6,Shelby County                 ,714,714,156643286,0,0,0,0,0,0,0,0,0,323,323,61823940,0,0,0,0,0,0,0,0,0
1,127,3,6,Walker County                 ,4,4,676000,0,0,0,0,0,0,0,0,0,4,4,676000,0,0,0,0,0,0,0,0,0
2,13,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,16,4,9,Aleutians West Census Area    ,2,2,196236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
