FIPS_State_Code,FIPS_County_Code,Census_Region_Code,Census_Division_Code,County_Name,Estimated_1_Unit_Buildings,Estimated_1_Unit_Total_Units,Estimated_1_Unit_Total_Value,Estimated_2_Unit_Buildings,Estimated_2_Unit_Total_Units,Estimated_2_Unit_Total_Value,Estimated_3to4_Unit_Buildings,Estimated_3to4_Unit_Total_Units,Estimated_3to4_Unit_Total_Value,Estimated_5plus_Unit_Buildings,Estimated_5plus_Unit_Total_Units,Estimated_5plus_Unit_Total_Value,Reported_1_Unit_Buildings,Reported_1_Unit_Total_Units,Reported_1_Unit_Total_Value,Reported_2_Unit_Buildings,Reported_2_Unit_Total_Units,Reported_2_Unit_Total_Value,Reported_3to4_Unit_Buildings,Reported_3to4_Unit_Total_Units,Reported_3to4_Unit_Total_Value,Reported_5plus_Unit_Buildings,Reported_5plus_Unit_Total_Units,Reported_5plus_Unit_Total_Value
1,1,3,6,Autauga County                ,44,44,11303000,0,0,0,0,0,0,0,0,0,44,44,11303000,0,0,0,0,0,0,0,0,0
1,7,3,6,Bibb County                   ,6,6,1043656,0,0,0,0,0,0,0,0,0,3,3,530000,0,0,0,0,0,0,0,0,0
1,9,3,6,Blount County                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21,3,6,Chilton County                ,7,7,914246,0,0,0,0,0,0,0,0,0,5,5,648000,0,0,0,0,0,0,0,0,0
1,37,3,6,Coosa County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,73,3,6,Jefferson County              ,400,400,100290529,1,2,201268,2,8,793108,12,75,6048683,386,386,98136190,1,2,201268,2,8,793108,8,48,4698683
1,81,3,6,Lee County                    ,226,226,65251945,0,0,0,0,0,0,1,5,510999,183,183,51953193,0,0,0,0,0,0,0,0,0
1,115,3,6,St. Clair County              ,24,24,3515551,0,0,0,0,0,0,0,0,0,23,23,3345918,0,0,0,0,0,0,0,0,0
1,117,3,6,Shelby County                 ,232,232,48435733,0,0,0,0,0,0,2,23,1285125,111,111,22806728,0,0,0,0,0,0,0,0,0
1,127,3,6,Walker County                 ,5,5,739800,0,0,0,0,0,0,0,0,0,5,5,739800,0,0,0,0,0,0,0,0,0
2,0,4,9,Alaska Balance of State       ,18,18,4459658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,13,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,16,4,9,Aleutians West Census Area    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,20,4,9,Anchorage Borough             ,174,174,50786816,0,0,0,0,0,0,2,13,2254723,174,174,50786816,0,0,0,0,0,0,2,13,2254723
2,20,4,9,Anchorage Municipality        ,174,174,50786816,0,0,0,0,0,0,2,13,2254723,174,174,50786816,0,0,0,0,0,0,2,13,2254723
2,50,4,9,Bethel Census Area            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,60,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,90,4,9,Fairbanks North Star Borough  ,18,18,3308006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,100,4,9,Haines Borough                ,3,3,703435,0,0,0,0,0,0,0,0,0,3,3,703435,0,0,0,0,0,0,0,0,0
2,105,4,9,Hoonah-Angoon Census Area     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,110,4,9,Juneau Borough                ,14,14,2997316,0,0,0,1,4,447888,0,0,0,14,14,2997316,0,0,0,1,4,447888,0,0,0
2,110,4,9,Juneau City and Borough       ,14,14,2997316,0,0,0,1,4,447888,0,0,0,14,14,2997316,0,0,0,1,4,447888,0,0,0
2,122,4,9,Kenai Peninsula Borough       ,12,12,2590592,0,0,0,0,0,0,1,6,757132,10,10,2098466,0,0,0,0,0,0,1,6,757132
2,130,4,9,Ketchikan Gateway Borough     ,8,8,1812733,1,2,261624,1,3,263303,0,0,0,8,8,1812733,1,2,261624,1,3,263303,0,0,0
2,150,4,9,Kodiak Island Borough         ,3,3,559242,0,0,0,0,0,0,0,0,0,3,3,559242,0,0,0,0,0,0,0,0,0
2,170,4,9,Matanuska-Susitna Borough     ,11,11,2262140,1,2,396320,0,0,0,0,0,0,1,1,200711,1,2,396320,0,0,0,0,0,0
2,180,4,9,Nome Census Area              ,1,1,173892,0,0,0,0,0,0,1,5,635848,1,1,173892,0,0,0,0,0,0,0,0,0
2,185,4,9,North Slope Borough           ,12,12,2809487,1,2,261624,0,0,0,0,0,0,8,8,1902640,0,0,0,0,0,0,0,0,0
2,188,4,9,Northwest Arctic Borough      ,1,1,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,195,4,9,Petersburg Census Area        ,1,1,130000,0,0,0,0,0,0,0,0,0,1,1,130000,0,0,0,0,0,0,0,0,0
2,198,4,9,Prince of Wales-Hyder Census A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,220,4,9,Sitka Borough                 ,5,5,1085301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,220,4,9,Sitka City and Borough        ,5,5,1085301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,230,4,9,Skagway Municipality          ,1,1,88000,1,2,45000,1,3,225000,0,0,0,1,1,88000,1,2,45000,1,3,225000,0,0,0
2,261,4,9,Valdez-Cordova Census Area    ,2,2,401000,0,0,0,0,0,0,0,0,0,2,2,401000,0,0,0,0,0,0,0,0,0
2,275,4,9,Wrangell City and Borough     ,2,2,307000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,282,4,9,Yakutat Borough               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,282,4,9,Yakutat City and Borough      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
